COMPANY;NAME;EMPLOYEES;SUMMARY;PROFIT_MARGINS;NET_INCOME;REVENUE_GROWTH;TOTAL_REVENUE;OPERATING_MARGIN;DEBT_TO_EQUITY;FOREWARD_PE;PE;REVENUE_PER_SHARE;DIVIDEND_YIELD;NBR_SHARES;MARKET_CAP;TOTAL_DEBT
ABT;Abbott Laboratories;113000.0;"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.";0.17354;7695000064.0;0.138;44514000896.0;0.22584;48.062;22.382414;25.40622;25.131;0.0183;1737652637.0;191640387584.0;17123999744.0
ABBV;AbbVie Inc.;50000.0;"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.";0.21999;12407000064.0;0.041;56725000192.0;0.35408002;451.44;12.737458;21.853392;32.039;0.040799998;1765095578.0;269201539072.0;73647996928.0
ABCA.PA;ABC arbitrage SA;88.0;"ABC arbitrage SA, together with its subsidiaries, develops arbitrage strategies for liquid assets worldwide. It develops liquidity, statistical, risk, and derivatives arbitrage strategies; and provides asset and portfolio management services. The company was incorporated in 1995 and is based in Paris, France.";0.43577;28038000.0;0.206;64342000.0;0.54973;3.367;10.173913;15.260869;1.096;0.056999996;33964897.0;416290912.0;5388000.0
ABMD;Abiomed, Inc.;2003.0;"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; Impella BTR, a percutaneous micro heart pump with integrated motors and sensors; and preCARDIA, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the Germany, France, United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.";0.13229999;136504992.0;0.119;1031753024.0;0.24797001;0.665;45.109543;85.67786;22.703;;44680908.0;11633375232.0;9996000.0
ABVX.PA;;;;;;;;;;;;;;;;
ABDN.L;abrdn plc;5000.0;"abrdn plc provides asset management services in the United Kingdom, Europe, North America, and Asia. The company offers investment solutions and funds; long-term savings and investment products to individual and corporate customers; and life insurance and savings products. It provides its products through institutional, wholesale, and retail distribution channels. It also makes real estate investments. The company was formerly known as Standard Life Aberdeen plc. abrdn plc was founded in 1825 and is headquartered in Edinburgh, United Kingdom.";0.58991003;994000000.0;;1684999936.0;0.14659001;11.851;0.12496345;3.7163043;0.794;0.0884;2079874823.0;3727958016.0;931000000.0
ACN;Accenture plc;699000.0;"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and liquid application management services, as well as program, project, and service management services; strategy consulting services; critical data elements, data management and governance, data platform and architecture, product-based organization and skills, business adoption, and value realization services; engineering, and research and development digitization; smart connected product design and development; product platform engineering and modernization; product as-a-service enablement; products related to production and operations; autonomous robotics systems; the digital transformation of capital projects; and digital industrial workforce solutions. It also provides data-enabled operating models; technology consulting and artificial intelligence services; services related to talent and organization/human potential; digital commerce; infrastructure services, such as hybrid cloud, network, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices; cyber defense, applied cybersecurity, managed security, OT security, security strategy and risk, and industry security products; services related to technology innovation; and intelligent automation services. In addition, the company offers cloud, ecosystem, marketing, supply chain management, zero-based budgeting, customer experience, finance consulting, mergers and acquisitions, and sustainability services. Accenture plc was founded in 1951 and is based in Dublin, Ireland.";0.11274;6391640064.0;0.245;56694923264.0;0.15122;16.794;26.168707;30.169302;89.462;0.0137;632653323.0;189773332480.0;3553144064.0
ANA.MC;Acciona, S.A.;41664.0;"Acciona, S.A., together with its subsidiaries, engages in the energy, infrastructure, and other businesses in Spain and internationally. The company develops, constructs, operates, and maintains wind, solar photovoltaic, solar thermal, hydro, and biomass plants. It also engages in designing, construction, maintenance, and management of infrastructure projects, including bridges, highways, motorways, roads, tunnels, railway, and metros and trams, as well as ports and water channels, airports, freight forwarding, data centers, substations, and transmission lines. In addition, the company offers event planning and management services, as well as designs, constructs, and operates drinking water treatment plants, reverse osmosis desalination plants, wastewater treatment plants, and tertiary treatment plants for water reuse; and constructs, operates, and manages health infrastructure, and academic institutions and student residences. Further, it provides museum and art center solutions; urban services; and shared electric motorcycles, as well as undertakes real estate projects; and projects for the urban and social regeneration of spaces. Additionally, the company facility, airport handling, waste collection and treatment, logistics, rail, and other services. It also engages in the fund management, stock broking, wine production, and other businesses. Acciona, S.A. is headquartered in Alcobendas, Spain.";0.038310003;332048000.0;0.128;8667485184.0;0.07709;124.691;19.37773;29.194078;158.663;0.0231;23676216.0;9700463616.0;6929518080.0
AC.PA;Accor SA;14466.0;"Accor SA operates a chain of hotels. It operates through two segments, HotelServices, and Hotel Assets & Other. The company owns, operates, manages, and franchises hotels. It also provides digital services to independent hotel operators through D-edge platform; ResDiary, a flat-rate online table reservation system that is designed for restaurant owners; Gekko solutions, including digital hotel distribution and loyalty platforms for the travel industry and large companies; and concierge and customized services through John Paul, as well as hotel booking services; and other services in events, fine dining, and entertainment through Paris Society and Potel & Chabot platforms. In addition, the company offers distribution activities, such as private sales of hotel accommodation and luxury vacations through VeryChic platform; rental of private residences operated by onefinestay; and coworking spaces through Wojo and Mama Works. Further, it provides hotel management, procurement, cash management, IT, and advertising services, as well as various advisory services. As of December 31, 2021, the company operated 5,298 hotels with 777,714 rooms in 110 countries worldwide. The company was founded in 1967 and is headquartered in Issy-les-Moulineaux, France.";0.03857;-27000000.0;0.96;2204000000.0;-0.10299;78.166;24.736843;147.64398;8.424;;156804459.0;7416487424.0;3555000064.0
ACKB.BR;Ackermans & Van Haaren NV;22653.0;"Ackermans & Van Haaren NV engages in the marine engineering and contracting, private banking, real estate and senior care, and energy and resources businesses worldwide. The company operates through five segments: Marine Engineering & Contracting, Private Banking, Real Estate & Senior Care, Energy & Resources, and AvH & Growth Capital. It engages in the marine construction activities, including dredging and civil works on water, as well as offshore activities in the areas of renewable energy, oil and gas, soil and sludge remediation, and aggregate and mineral extraction; real estate development activities; and development of port projects and related industrial zones, as well as offshore wind farms. The company also offers asset management services for various private clients; advisory banking services for entrepreneurs and liberal professionals; and car finance and leasing services through car dealers. In addition, it develops residential and mixed projects; invests in retail and office properties; provides accommodation and care for the elderly; and operates retirement homes. Further, the company produces crude palm oil, rubber, banana, and tea products; manufactures cement; and offers advice, automation, and maintenance services for life science, tank terminal, food and beverage, infrastructure, and chemistry markets. Additionally, it engages in the production and sale of compact biogas installations. Ackermans & Van Haaren NV was founded in 1876 and is headquartered in Antwerp, Belgium.";0.09466;406964000.0;0.117;4297374208.0;0.07734;50.182;10.502549;11.7618265;129.641;0.019199999;22095676.0;4780474880.0;2627013888.0
EOS.PA;ACTEOS S.A.;91.0;"ACTEOS S.A. designs, develops, integrates, and provides software and related services in the field of supply chain management in France, Germany, Lebanon, and internationally. It offers Acteos suite, which include forecasting and procurement system for point of sales/e-business/distribution centers; transportation management system to organize and manage transport activities; and warehouse management system, a modular solution to manage customers' warehouses. The company also provides software as a service, hotline, technical project management, and consulting services. ACTEOS S.A. was founded in 1986 and is headquartered in Roubaix, France.";0.02032;323529.0;-0.008;15922929.0;0.01736;3257.267;;24.567902;4.42;;1223964.0;6624769.0;7041398.0
ATI.PA;;;;;;;;;;;;;;;;
ATVI;Activision Blizzard, Inc.;9800.0;"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision, Blizzard, and King. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, Overwatch League, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. The company is headquartered in Santa Monica, California.";0.29834;2475000064.0;-0.223;8296000000.0;0.36403;20.234;20.03599;24.750715;10.66;0.0063;711168112.0;60939808768.0;3608000000.0
ALIF-B.ST;AddLife AB (publ);2119.0;AddLife AB (publ), together with its subsidiaries, provides equipment, medical devices, and reagents primarily to healthcare system, research, colleges, and universities, as well as the food and pharmaceutical industries. The company operates in two segments, Labtech and Medtech. The Labtech segment offers products, solutions, and services in the areas of diagnostics, and biomedical research and laboratory equipment for haematology, pathology, point-of-care diagnostics, cell biology, genetics, microbiology, virology, molecular biology, clinical chemistry, immunology, consumables, and analytical instruments segments. This segment also offers support, maintenance, advice, and training services. The Medtech segment provides medical device products for surgery, respiration, intensive care, wound care, enteral nutrition, fall prevention, welfare technology, ear, and nose and throat segments, as well as bathroom-related assistive devices and assistive devices for children with disabilities. It operates in Sweden, Finland, Denmark, Norway, the United Kingdom, Ireland, Germany, Italy, Austria, Switzerland, rest of Europe, and internationally. AddLife AB (publ) was founded in 1906 and is based in Stockholm, Sweden.;0.08122;717600000.0;0.486;8835600384.0;0.12286;115.381;38.693584;27.760735;72.574;0.0117999995;93987391.0;19825418240.0;5250999808.0
ADDT-B.ST;Addtech AB (publ.);3556.0;"Addtech AB (publ.) operates as a technology trading company in Sweden, Denmark, Finland, Norway, rest of Europe, and internationally. The company operates through Automation, Electrification, Energy, Industrial Solutions, and Process Technology segments. It markets and sells intelligent solutions, subsystems, and components to industrial automation and infrastructure sector, including solutions for robotics, control systems, sensors, and industrial and communication networks. The company also offers battery systems; connectivity solutions; and intelligent power products, electronics, motors, and powertrain solutions. In addition, it produces and sells products for electricity transmission and electrical installation, as well as safety products for traffic and the home environment; and electricity distribution and communication network products to electricity network operators, contractors, wholesalers, railway companies, industrial customers, and hospitals. Further, the company produces and sells solutions and systems primarily for the forest, special vehicles, mechanical, and waste/recycling industries, as well as provides hydraulic solutions. Additionally, it provides process components, equipment, and systems for creating and processing flows; provides emission control products; and markets and sells instruments and valves for regulating and monitoring pressure, levels, flows, and energy. The company was founded in 1906 and is based in Stockholm, Sweden.";0.07651;1074000000.0;0.338;14037999616.0;0.10707;98.239;26.289682;33.544304;52.108;0.0128;239397849.0;37412569088.0;4184000000.0
ADEN.SW;Adecco Group AG;37979.0;Adecco Group AG, together with its subsidiaries, provides human resource services to businesses and organizations in Europe, North America, Asia Pacific, South America, and North Africa. It offers flexible placement, permanent placement, outsourcing, training, upskilling and reskilling, career transition and workforce transformation, technology consulting and talent, tech academy, digital staffing services, and talent advisory and solutions under the Adecco, Adia, General Assembly, Badenoch + Clark, LHH, pontoon, Spring, and Modis. The company also operates Hired, a talent recruitment platform. As of December 31, 2021, it operated approximately 4,300 branches in 59 countries and territories. The company was formerly known as Adecco S.A. Adecco Group AG was founded in 1957 and is based in Zurich, Switzerland.;0.02586;554000000.0;0.096;21424001024.0;0.035940003;88.814;7.45815;9.834447;131.205;0.0733;165716359.0;5647847936.0;4064999936.0
ADS.DE;adidas AG;53870.0;"adidas AG, together with its subsidiaries, designs, develops, distributes, and markets athletic and sports lifestyle products worldwide. It offers footwear; apparel; and accessories and gear, such as bags and balls under the adidas brand. It sells its products through approximately 2,200 own-retail stores; mono-branded franchise stores and shop-in-shops; and wholesale and its e-commerce channels. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in June 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach, Germany.";0.09592;1246000000.0;0.006;21268000768.0;0.080970004;77.916;15.320144;16.088394;110.396;0.0199;174811003.0;32726155264.0;5430000128.0
ADM;Archer-Daniels-Midland Company;39218.0;"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States, Switzerland, Cayman Islands, Brazil, Mexico, the United Kingdom, and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal; distillers' grains; and citric acids. Additionally, the company provides natural flavors, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant; commodity brokerage services; cash margins and securities pledged to commodity exchange clearinghouses; and cash pledged as security under certain insurance arrangements. The company was founded in 1902 and is headquartered in Chicago, Illinois.";0.03415;3073999872.0;0.252;90006003712.0;0.03563;58.675;12.56661;13.721229;159.373;0.0202;559629774.0;41932996608.0;14092000256.0
ADM.L;Admiral Group plc;11317.0;Admiral Group plc provides car insurance products in the United Kingdom, Spain, Italy, France, India, and the United States. The company operates through UK Insurance, International Insurance, Admiral Loans, and Other segments. It underwrites car, van, household, and travel insurance, as well as offers unsecured personal and car loans, and legal services. It offers its insurance products under the Admiral, Apparent, Balumba, Bell, Diamond, Elephant, Elephant Auto, Gladiator, L'Olivier, Qualitas Auto, and WiYou Seguros brand names, as well as through Compare.com and ConTe.it. The company was founded in 1993 and is headquartered in Cardiff, the United Kingdom.;0.64236;584499968.0;0.101;1553500032.0;0.47087002;55.108;0.15506639;1132.1428;5.222;0.0586;265768716.0;6654647808.0;776200000.0
