COMPANY;NAME;EMPLOYEES;SUMMARY;PROFIT_MARGINS;NET_INCOME;REVENUE_GROWTH;TOTAL_REVENUE;OPERATING_MARGIN;DEBT_TO_EQUITY;FOREWARD_PE;PE;REVENUE_PER_SHARE;DIVIDEND_YIELD;NBR_SHARES;MARKET_CAP;TOTAL_DEBT
CDA.PA;Compagnie des Alpes SA;5000.0;"Compagnie des Alpes SA, together with its subsidiaries, operates leisure facilities. It operates through Ski Areas, Leisure Parks, and Holdings and Supports segments. The Ski Areas segment operates ski lifts; and equips, maintains, and operates ski areas, as well as maintains ski runs and trails. It also sells land to real-estate developers. This segment operates ski resorts under the La Plagne, Les Arcs, Peisey-Vallandry, Tignes, Val d'Isère, Les Menuires, Méribel, Flaine, Serre Chevalier, Les Deux Alpes, Samoëns, and Megeve. The Leisure Parks segment develops and operates theme parks, combined amusement and animal parks, water parks, wax museums, and tourist sites. This segment operates leisure parks under Parc Astérix, Futuroscope, Grévin Paris, France Miniature, Walibi Rhône-Alpes, Walibi Holland, Walibi Belgium, Aqualibi, Bellewaerde, Aquapark, and Familypark. The Holdings and Supports segment is involved in the provision of consulting services; and tour-operator, travel agency, and real estate businesses. Compagnie des Alpes SA was founded in 1989 and is headquartered in Paris, France.";0.15137;113565000.0;16.166;750252992.0;0.21733;82.079;9.487805;4.48415;16.408;;19941749.0;783169024.0;828192000.0
ALO.PA;;;;;;;;;;;;;;;;
ATE.PA;Alten S.A.;42300.0;"Alten S.A. operates as an engineering and technology consultancy company in France, North America, Germany, Scandinavia, Benelux, Spain, Italy, the United Kingdom, the Asia-Pacific, Switzerland, Eastern Europe, and internationally. The company undertakes design and research projects for the technical and information systems divisions in the industrial, telecommunications, and service sectors. It offers engineering, and research and development outsourcing services, such as digital transformation; product design and development; manufacturing engineering; supply chain and quality; customer service and training; and project and change management services. The company also provides IT services comprising consulting and digital transformation; technical services for digital, big data, data science, and artificial intelligence; development, maintenance, and testing of applications; and cloud, and networks and security infrastructure services. It serves customers in aeronautics, space, defense and naval, security, automotive, rail, energy and environment, life sciences, banking, finance, insurance, telecoms and media, retail and consumer services, and public sectors. Alten S.A. was incorporated in 1988 and is based in Boulogne-Billancourt, France.";0.07105;207836992.0;0.402;2925179904.0;0.10223;19.355;14.672228;20.414593;86.406;0.0107;27313836.0;4180795904.0;275052000.0
ALTUR.PA;;;;;;;;;;;;;;;;
AMPLI.PA;;;;;;;;;;;;;;;;
AMUN.PA;Amundi;5400.0;"Amundi is a publically owned investment manager. The firm engages in the asset management business. The company provides a range of retail products and solutions through quasi-exclusive distribution agreements with the retail banking networks of the Crédit Agricole and the Société Générale groups in France; and through international partner networks and joint ventures outside France, as well as through third-party distributors primarily in France, rest of Europe, and Asia. It also offers management and advisory services for various pension funds, insurers, and sovereigns; and treasury management and employee savings solutions for corporate customers through global relationship managers supported by sales and marketing staff in 30 countries. It was formerly known as Amundi Group. The company was founded in 1982 and is headquartered in Paris, France. Amundi Group operates as a subsidiary of Credit Agricole S.A.";0.19481;1152450048.0;-0.637;5915708928.0;0.26184;;8.771186;7.840909;29.055;0.08270001;61022271.0;10536507392.0;
AKE.PA;Arkema S.A.;19441.0;"Arkema S.A. manufactures and sells specialty chemicals and advanced materials worldwide. The company operates through Adhesive Solutions, Advanced Materials, Coating Solutions, and Intermediates segments. It provides adhesive solutions for construction, renovation of buildings, DIY, durable goods, and packaging and non-woven applications; and supplies technologies used in building activities for businesses and individuals, including sealants, tiles, flooring adhesives and waterproofing systems, and technologies used in industry, which include automotive, textiles, glazing, flexible and rigid packaging, and hygiene markets. The company also offers advanced materials consisting of specialty polyamides and polyvinylidene fluoride; and performance additives, such as specialty surfactants and molecular sieves, organic peroxides, thiochemicals, and hydrogen peroxide for use in automotive and transportation, oil and gas, renewable energies, consumer goods, electronics, construction, coatings, animal nutrition, and water treatment sectors. In addition, it provides coating solutions comprising EU/US acrylics and coating resins; sartomer photocure resins and coatex rheology additives; decorative paints, industrial coatings, and adhesives; and solutions for applications in the paper, superabsorbents, water treatment and oil and gas extraction, and 3D printing and electronics industries. Further, the company offers fluorogases and acrylics; and industrial intermediate chemicals used in construction, refrigeration and air conditioning, automotive, coatings, and water treatment sectors. Arkema S.A. was incorporated in 2003 and is headquartered in Colombes, France.";0.09928001;1073000000.0;0.329;10968999936.0;0.14632;46.993;8.219466;5.9447894;147.796;0.036;56583361.0;6371689472.0;3431000064.0
ASY.PA;Assystem S.A.;7043.0;"Assystem S.A. provides engineering and infrastructure project management services worldwide. The company provides engineering services for the preparation, design, and construction of critical and complex infrastructure projects for public authorities and utility companies. It also offers engineering, procurement, and construction management; project management consulting; industrial control system; siting and permit studies; research and analysis; systems engineering; project management; digital engineering; project control solutions; digital field services; and industrial data science, as well as compliance, safety and security services for nuclear, energy, transportation, defense, and buildings and infrastructure sectors. In addition, the company provides decommissioning and waste management services, and integration and maintenance services. Assystem S.A. was formerly known as AssystemBrime S.A. and changed its name to Assystem S.A. in June 2005. The company. was founded in 1966 and is headquartered in Courbevoie, France. Assystem S.A. is a subsidiary of HDL Development.";0.07079;31500000.0;;483100000.0;0.06127;34.867;12.882563;17.238096;32.695;0.0276;5575776.0;535684000.0;125000000.0
ATA.PA;;;;;;;;;;;;;;;;
ATEME.PA;ATEME SA;488.0;"ATEME SA, together with its subsidiaries, provides video compression and delivery solutions worldwide. The company offers various solutions, such as TITAN Live, a software-based live video compression for the converged headend; TITAN File, a video transcoding transcoder; TITAN Mux, a multi-function software stream processing solution; TITAN Playout; KYRION CM5000e, an ultra-low latency encoder; TITAN Edge encoder; TITAN Edge decoder; and TITAN Edge gateway. It also provides NEA-CDN, a OTT scale service solution; NEA-DVR, a unlimited recording on every screen; NEA-Live, a broadcast-quality, low-latency, live, and time-shifted TV services; NEA-Composer, a dynamic Ad insertion and linear origination solutions; PILOT Media, a cloud native media supply chain solution; and PILOT Manager, a cloud native management system. The company was incorporated in 1991 and is headquartered in Vélizy-Villacoublay, France.";0.0144299995;1785000.0;0.112;78798000.0;0.01402;62.298;34.666664;124.799995;7.056;;7538506.0;140658336.0;24664000.0
ATO.PA;;;;;;;;;;;;;;;;
AUB.PA;Aubay Société Anonyme;7306.0;"Aubay Société Anonyme operates as a digital services company in Belgium, Luxembourg, Spain, Portugal, Italy, and France. The company offers management consulting services, including business line expertise, operational excellence, digital transformation, and operational assistance; and infrastructures-cloud and security solutions, such as hybrid cloud infrastructure, IT operations, IT service management, and cybersecurity. It also provides IT and architecture consulting services comprising audits and studying opportunities, urbanization/enterprise architecture, architecture solutions/digital programs, and IT expertise; and testing-QA services that include functional and technical, and mobile application testing, as well as automation of testing and testing in agile mode. In addition, the company offers digital marketing services, which comprise marketing strategy, design thinking, user experience, and user interface solutions; application services; and fast lab and innovation services, including RPA, artificial intelligence, blockchain, and virtual and mixed reality. Further, it provides steering services, such as strategic steering, operational steering, governance project, and operational efficiency; and big datadata intelligence services, such as data processing pillars, organization of data, advanced analytics, and presentation of analysis. Additionally, the company offers agility/DevOps services comprising coaching, agile transformation, operational scrum master, and DevOps. It serves the banking/finance, insurance and personal protection coverage, public, services/utilities, industry/transport, telecom, media and gaming, and retail and distribution sectors. The company was founded in 1997 and is based in Boulogne-Billancourt, France.";0.07312;34409000.0;0.122;470600992.0;0.10293;8.358;17.118055;19.03475;35.626;0.0301;7218118.0;651282560.0;19219000.0
AURE.PA;Aurea SA;531.0;"Aurea SA engages in the recycle of black motor oils, and manufacture of remoulded tires from used tires. The company also recycles rigid PVC, plastics, and packaging products; refines and recycles aluminum; recycles copper and produces copper alloys; and specializes in the treatment and recycling of zinc, lead, and cadmium. In addition, it engages in the treatment and decontamination of mercury waste. The company was formerly known as AUER and changed its name to Aurea SA in 1988. Aurea SA is based in Paris, France.";0.051170003;11224000.0;0.529;219347008.0;0.044910002;81.281;36.608696;7.1355934;23.114;0.0179;1725507.0;79929968.0;53923000.0
AURS.PA;AURES Technologies S.A.;382.0;"AURES Technologies S.A. designs, manufactures, and sells point of sale (POS) systems and terminals, and related peripherals. The company provides all-in-one touch screen terminals, POS systems, and retail solutions; POS and mobile tablets; POS modular solutions; touchscreen panels; POS thermal receipt printers; complementary screens, displays, and monitors; and a range of accessories, such as barcode scanners, specific readers for magnetic cards, biometric readers, and RFID readers. It also offers consulting, staging, installation, decommissioning, asset tracking, real time POS monitoring, and onsite support services. The company offers its products for food and non-food stores, shops, retail outlets, superstores and supermarkets, catering and hospitality businesses, snacking and takeaway outlets, leisure and sport venues, etc. It markets its products through a network of distributors, resellers, agents, and partners in France, the United Kingdom, Germany, Australia, the United States, and internationally. The company was founded in 1989 and is headquartered in Lisses, France.";0.02527;2517000.0;0.09;99611000.0;0.03496;68.429;7.4873095;23.046875;25.357;;2196490.0;57955996.0;24241000.0
CS.PA;AXA SA;106128.0;"AXA SA, through its subsidiaries, provides insurance, asset management, and banking services worldwide. The company operates through France, Europe, Asia, AXA XL, International, and Transversal & Central Holdings segments. It offers life and savings insurance products, such as savings and retirement, other health, and personal protection products. The company also provides property and casualty insurance products, including car, home, and personal or professional liability to individual and business clients; international insurance for large corporate clients in Europe; and marine and aviation, as well as property and casualty reinsurance products. In addition, it offers asset management services in the areas of various asset classes, including equities, bonds, hedge funds, private equity, and real estate for the group's insurance companies and their clients, and retail and institutional clients. The company was founded in 1852 and is based in Paris, France.";0.059699997;7100000256.0;0.01;122170998784.0;0.07967;73.751;6.963557;19.108;51.332;0.0686;1892854010.0;57079656448.0;61198000128.0
AXW.PA;Axway Software SA;1648.0;"Axway Software SA operates as an infrastructure software publisher in the Americas, France, rest of Europe, the Asia Pacific, and internationally. The company provides AMPLIFY, a platform that offers application integration, API management, managed file transfer, B2B-EDI integration, and digital finance solutions. It also offers specialized enterprise integration products to provide visibility, intelligence, and security throughout the digital ecosystem; counter threats before they happen; optimize business assets and resources; safeguard against risks; and improve operational performance, as well as provides managed cloud services. The company serves the automotive, banking and financial services, healthcare, insurance, life science, manufacturing and consumer packaged goods, retail, and transportation and logistics industries, as well as government and public sectors. Axway Software SA was incorporated in 2000 and is headquartered in Scottsdale, Arizona.";0.03598;10202000.0;-0.015;283548000.0;0.051799998;28.785;9.543379;55.0;13.385;0.0211;6529309.0;444835584.0;109700000.0
BLC.PA;Bastide Le Confort Médical SA;3039.0;"Bastide Le Confort Médical SA engages in the sale and rental of medical equipment in France. The company offers comfort and health products, such as lift chairs, bathroom and well-being products, pillows and cushions, seats, phones keys, measuring devices, technical aids, fitness products, blood pressure monitors, and pillboxes ; and incontinence products, including absorbent and support briefs, anatomical protections, protections for men and women, disposable mattress pads, PVC panties, and hygiene and body care products. It also provides medical materials comprising home support products wheel chairs, electric scooters, walkers, bed tables and rails, and transfer aids, air mattress, sick lifts, and standers; and medical equipment consisting of consumables, care and dressings, hygiene and disinfection products, outfits and briefcases, and other medical equipment, as well as home support services for elderly, senior, or disabled. It offers its products through approximately 130 stores, as well as through an online store. The company was founded in 1977 and is headquartered in Caissargues, France.";0.03029;13452000.0;0.079;444072992.0;0.08445;420.432;13.333334;23.963133;60.431;0.0075;3303327.0;265693440.0;357615008.0
BEN.PA;Bénéteau S.A.;7482.0;"Bénéteau S.A. designs, manufactures, and sells boats and leisure homes in France and internationally. It provides boats under the Beneteau, Jeanneau, Lagoon, Prestige, Monte Carlo Yachts, Four Winns, Glastron, Scarab, WellCraft, EXCESS, and Delphia brand names; and leisure homes under the IRM, O'HARA, and Coco Sweet brand names. The company also offers bandofbaots.com, a community services platform for purchase and sale of new or used boats; lease purchase, credit, and insurance services through SGB Finance; and inventory and retail finance solutions. Bénéteau S.A. was founded in 1884 and is headquartered in Saint Gilles Croix de Vie, France.";0.05982;73415000.0;;1227150976.0;0.08161;37.942;15.5;22.33051;14.877;0.026800001;33308277.0;859491648.0;239207008.0
BB.PA;Société BIC SA;10471.0;"Société BIC SA manufactures and sells stationery, lighter, shaver, and other products worldwide. It offers ball and coloring felt pens, markers, sticky notes, leads, whiteboards, and correction tapes, as well as graphite, coloring, mechanical, and other pencils; reusable notebooks, smart pens, erasers, crayons, art and craft kits, refillable shavers, razors shave cream, body and face lotions, finger painting products, and watercolors; permanent, single, metallic, and temporary tattoo markers; gel ink, roller, and fineliner pens; and ball and gel pen, color, and mechanical refills. The company also provides pocket, utility, decorated, non-decorated classic, electronic, and multipurpose lighters. In addition, it sells pantyhoses, batteries, and shaving preps; and advertising and promotional products. Further, the company is involved in the provision of delivery services; production of industrial equipment; and manufacture and distribution of IT solutions and consumer products, as well as in real estate and insurance activities. It markets its products primarily under the BIC, BIC Kids, Cello, Lucky, RocketBook, Tipp-Ex, BIC Wite-Out, DJEEP, BIC Soleil, Us, MADE FOR YOU, BIC Evolution, and BodyMark brands through a range of channels, including retail mass-market distributors, traditional stores, and office product stationers, as well as an e-commerce site. The company was founded in 1944 and is headquartered in Clichy, France.";0.1137;220195008.0;0.255;1936594944.0;0.07564;;10.552486;11.222092;43.413;0.038900003;23712600.0;2554479872.0;0.0
BIG.PA;BigBen Interactive;1095.0;"BigBen Interactive designs, manufactures, and distributes accessories for video game consoles, and smartphones and tablets in France and internationally. It also offers audio products; and publishes and distributes video games, as well as provides technical support services. The company was founded in 1981 and is headquartered in Lesquin, France.";0.02861;7887000.0;-0.035;275711008.0;0.05372;64.411;6.408602;15.48052;13.731;0.020399999;12238610.0;232699856.0;193040992.0
BIM.PA;bioMérieux S.A.;12084.0;"bioMérieux S.A. develops and produces in vitro diagnostic solutions for the diagnosis of infectious diseases in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company offers systems, which use biological samples to diagnose infectious diseases, cardiovascular pathologies, and various cancers; and microbiological testing of manufacturing primarily for food, pharmaceutical, cosmetics, and veterinary sectors. It serves clinical and hospital laboratories, physicians, blood banks, and industrial control laboratories. The company was formerly known as B-D Mérieux. bioMérieux S.A. was founded in 1963 and is headquartered in Marcy l'Etoile, France. bioMérieux S.A. is a subsidiary of Institut Mérieux SA.";0.17804001;601100032.0;0.097;3376199936.0;0.23725;14.569;39.274338;26.029325;28.548;0.008;42521769.0;10491787264.0;462500000.0
BNP.PA;BNP Paribas SA;190000.0;"BNP Paribas SA provides a range of banking and financial services in Europe, North America, Asia Pacific, and internationally. The company offers corporate and institutional banking services, such as consulting, financing and transaction banking for corporate clients and institutional investors; capital markets investment and financing; securities clearing, and custody services. It also provides commercial, and personal banking and services, including financing and leasing services, financing of individuals, and digital banking services, as well as current and savings account products, equipment leasing and financing solutions, and consumer loans. In addition, the company offers investment and protection services, which includes borrowers' insurance, which protects the insured party from the unexpected when taking out a mortgage, personal, auto, or consumer loan; savings and protection solutions comprising life insurance, employee savings, retirement savings, etc.; asset management, wealth management, and real estate services. The company was formerly known as Banque Nationale de Paris and changed its name to BNP Paribas SA in May 2000. BNP Paribas SA was founded in 1822 and is headquartered in Paris, France.";0.23632;9109999616.0;-0.052;42713001984.0;0.28389;;6.7252126;8.353272;33.38;0.0798;1072870334.0;58605985792.0;583700971520.0
BOI.PA;Boiron SA;2409.0;"Boiron SA manufactures and sells homeopathic medicines in France, rest of Europe, North America, and internationally. The company offers non-proprietary, proprietary, branded homeopathic medicines. Its branded homeopathic medicines include Oscillococcinum to treat influenza symptoms, such as fever, chills, headaches, and aches; Stodal and Stodaline for treating coughs; Arnigel for adjunctive local treatment of benign trauma in the absence of open wounds; Camilia for the treatment of teething problems for babies; and Sédatif PC to treat anxiety and emotional, and minor sleep disorders. The company's homeopathic medicines also comprise Coryzalia for the treatment of cold symptoms and rhinitis; Homéoptic to treat eye discomfort and irritation due to various causes for adults and children; and Homéovox for vocal disorders. In addition, it provides dietary supplement; Dermoplasmine stick, baume, and mousse to treat dry lips and skin; Mag' Nuit, a formula to fall asleep; Arnitrosium for joint pain; Castor Equi Boiron ointment for treatment of cracked skin; and Storinyl, a syrup to treat colds. Further, it offers herbal medicines, such as Canephron to increase the amount of urine and to improve urinary elimination; moisturizing baby milk; and medical devices, including a range of COVID self-tests and rapid antigenic tests. The company offers its products through distribution centers, pharmacies, pharmacy chains, wholesalers, grocery and drugstores, health food stores, and online retail. Boiron SA was founded in 1932 and is headquartered in Messimy, France.";0.06273;28556000.0;0.02;455201984.0;0.10755;2.37;9.349593;30.728123;25.987;0.0208;3950112.0;805731392.0;12606000.0
BOL.PA;Bolloré SE;70917.0;"Bolloré SE engages in the transportation and logistics, communications, and electricity storage solutions businesses in Asia, Africa, the Americas, the Asia-Pacific, and internationally. It operates through Transportation and Logistics, Oil Logistics, Communications, and Electricity Storage and Systems segments. The company offers freight forwarding, railroad, and port services; and distributes and warehouses oil products. It also provides advertising, and communication consulting services; owns and publishes Cnews, a French daily newspaper; provides ticketing and venue services; acts as a pay-TV operator; and operates Mac-Mahon cinema theaters. Further, it develops batteries based on Lithium Metal Polymer technology for use in electric buses, as well as in stationary applications; energy storage solutions; and plastic films for capacitors, and shrink-wrap packaging films, as well as offers Bluebus electric buses. Additionally, the company designs, products, and markets solutions for passenger air and rail transport networks; integrates identification, tracking, and mobility solutions for logistics contractors, industry, and transport; develops terminals, electric charging points, and identification and geolocalization systems; operates shuttles; offers Bluecar electric vehicles and digital transformation solutions; provides equipment to control pedestrian and vehicles; and develops, deploys, and operates point-to-point car sharing solutions. The company was founded in 1822 and is based in Puteaux, France. Bolloré SE is a subsidiary of Financière de l'Odet SE.";0.28683;-13590800384.0;-0.099;22330499072.0;0.05485;;;30.025;6.743;0.012200001;866882471.0;14085904384.0;
BON.PA;Bonduelle SCA;10956.0;Bonduelle SCA produces and sells vegetables and fruits in Europe and internationally. It offers canned, frozen, and fresh cut vegetables, as well as prepared salads. The company provides its products under the Bonduelle, Cassegrain, Arctic Gardens, Globus, and Ready Pac Foods brands. Bonduelle SCA was founded in 1853 and is headquartered in Renescure, France.;0.0177;49217000.0;0.001;2779934976.0;0.03244;133.548;5.297071;7.234286;86.359;0.0342;11027204.0;405855552.0;1020721024.0
BSD.PA;;;;;;;;;;;;;;;;
EN.PA;Bouygues SA;124600.0;"Bouygues SA, together with its subsidiaries, operates in the construction, telecom, and media sectors in France and internationally. The company designs, builds, renovates, operates, and deconstructs building, infrastructure, and industrial projects; develops urban planning, residential, and commercial projects; constructs and maintains roads and motorways, airport runways, ports, industrial logistics and commercial hubs, urban roads and amenities, external works, reserved-lane public transport facilities, leisure facilities, and environmental amenities, as well as undertakes civil engineering activities; produces and recycles construction materials; and distributes bitumen. It also engages in the construction, renewal, and maintenance of rail networks; fitting of road safety and signaling equipment; and laying and maintenance of pipes and pipelines. In addition, the company produces TF1, TMC, TFX, TF1, and LCI complementary TV channels; operates TV Breizh, Histoire, Ushuaïa, and Serieclub channels; produces, broadcasts, and distributes content; produces cinemas; operates la seine musicale entertainment and concert venue; and licenses, publishes, and boards games, as well as musical and events. Further, it offers telecom services; mobile and fixed Internet services; and Bbox Miami, an Android box for TV. Bouygues SA was founded in 1952 and is based in Paris, France.";0.02553;973000000.0;0.06;38112002048.0;0.046469998;70.651;10.098976;16.1694;97.643;0.061;210486176.0;11235973120.0;9155000320.0
BVI.PA;Bureau Veritas SA;80000.0;"Bureau Veritas SA provides laboratory testing, inspection, and certification services. It operates through six segments: Marine & Offshore; Agri-Food & Commodities; Industry; Buildings & Infrastructure; Certification; and Consumer Products. The company engages in the inspecting, analyzing, auditing, and certifying the products, assets, and management systems of its customers in relation to regulatory benchmarks or volunteers, as well as issues compliance reports. It also provides laboratory and on-site testing services for manufacturing and process industries; inspection services for products, services, assets, and installations, as well as designed to control quality, verify quantity, and meet regulatory requirements; and certification services for management systems, products, and people. The company serves automotive and transportation, building and infrastructure, chemicals, commodities and agriculture, consumer products and retail, food, marine and offshore, oil and gas, and power and utilities industries, as well as financial services and public sectors. It operates in approximately 140 countries through a network of 1,600 offices and laboratories. Bureau Veritas SA was founded in 1828 and is based in Neuilly-sur-Seine, France.";0.08545999;449200000.0;0.114;5256099840.0;0.14380999;162.381;23.514288;88.49462;11.628;0.0197;289533519.0;11169089536.0;2946400000.0
CAFO.PA;;;;;;;;;;;;;;;;
CAPLI.PA;;;;;;;;;;;;;;;;
