NAME,AGE,POSITION,APPOINTED
Dominique Pasquier,--,"Chief Executive Officer Of Agos Ducato (Italy), Member Of The Management Committee",--
Marc-Andre Poirier,--,"Senior Regional Officer Americas Of Credit Agricole CIB, Member Of The Management Committee",--
Jacques Prost,--,"Head Of Private Banking, Member Of The Management Committee",2018
Michel Roy,--,"Senior Regional Officer Asia-Pacific Of Credit Agricole CIB, Member Of The Management Committee",--
Jean-Pierre Trinelle,--,"Senior Country Officer Group, Egypt, Member Of The Management Board",2020
Herve Varillon,--,"Chief Executive Officer Of Credit Agricole Leasing & Factoring, Member Of The Management Board",--
Veronique Faujour,--,"Corporate Secretary, Member Of The Executive Committee",2020
Bernard Muselet,54,"Group Senior Country Officer - Morocco, Member Of The Management Committee",--
Agnes Audier,--,Non-Voting Director,2020
Pascale Berger,60,"Director, Representative Of Credit Agricole Regional Bank Employees",2013
Pierre Cambefort,57,Director,2020
Bernard De Dree,67,Director,2012
Philippe De Waal,66,Director,2020
Daniel Epron,65,Director,2014
Jean-Pierre Gaillard,61,Director,2014
Nicole Gourmelon,57,Director,2020
Francois Heyman,62,"Director, Representative Of Employees Of UES Credit Agricole SA",2012
Jean-Paul Kerrien,60,Director,2015
Christiane Lambert,60,Director,2017
Pascal Lheureux,59,Director,2020
Gerard Ouvrier-Buffet,64,Director,2013
Louis Tercinier,61,Director,2017
Simone Vedie,61,Director Representing Employees Of UES Credit Agricole SA,2018
Caroline Catoire,65,Independent Director,2011
Marie-Claire Daveu,50,Independent Director,2020
Laurence Dors,65,Independent Director,2009
Francoise Gri,63,Independent Director,2012
Catherine Pourre,64,Independent Director,2018
