NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE;Country;Financials
DEUTSCHE BANK;Banks;;DBKGN.DE;DBK.DE;DE;
DEUTSCHE BOERSE;Financial Services;;DB1GN.DE;DB1.DE;DE;
DEUTSCHE POST;Freight;Air Freight & Logistics;DPWGN.DE;DPW.DE;DE;
DEUTSCHE TELEKOM;Telecommunications;;DTEGN.DE;DTE.DE;DE;
Devon Energy;Oil & Gas;Oil & Gas Exploration & Production;DVN.N;DVN;US;
DexCom;Health Care Equipment;Health Care Equipment;DXCM.N;DXCM;US;
Dexus;Real Estate;;DXS.AX;DXS.AX;AUS;
DIAGEO;Vinters & Tobacco;Distillers & Vintners;DGE.L;DGE.L;GB;
DIAGNOSTIC MEDICAL;Health Care Services;;DMSP.PA;DGM.PA;FR;
Diamondback Energy;Oil & Gas;Oil & Gas Exploration & Production;FANG.N;FANG;US;
DIASORIN;Health Care Equipment;Health Care Equipment;DIAS.MI;DIA.MI;IT;
Digital Realty Trust;Real Estate;Specialized REITs;DLR.N;DLR;US;
DINO POLSKA SA;Consumer Staples;Food Retail;DNP.WA;DNP.WA;PL;
DIPLOMA;Industrials;Distributors;DPLM.L;DPLM.L;GB;
DIRECT LINE INSURANCE GROUP;Insurance;;DLGD.L;DLG.L;GB;
Discover Financial Services;Financials;Consumer Finance;DFS.N;DFS;US;
Discoveryÿ(Series A);Communication Services;Broadcasting;DISCA.N;DISCA;US;
Dish Network;Telecommunications;Cable & Satellite;DISH.N;DISH;US;
DNB BANK;Banks;;DNB.OL;DNB.OL;NO;
Dollar General;Consumer Staples;General Merchandise Stores;DG.N;DG;US;
Dollar Tree;Consumer Staples;General Merchandise Stores;DLTR.N;DLTR;US;
DOMETIC GROUP AB;Automobiles and Parts;;DOMETIC.ST;DOM.ST;SE;
Dominion Energy;Energy;Electric Utilities;D.N;D;US;
Domino's Pizza;Hotels & Restaurants;Restaurants;DPZ.N;DPZ;US;
Dover Corporation;Industrial Machinery;Industrial Machinery;DOV.N;DOV;US;
Dow;Materials;Commodity Chemicals;DOW.N;DOW;US;
DR MARTENS;Apparel, Accessories & Luxury Goods;;DOCS.L;DOCS.L;GB;
DS SMITH;Materials;Paper Packaging;SMDS.L;SMDS.L;GB;
DSV;Materials;Silver;DSV.CO;DSV.CO;DK;
DTE Energy;Energy;Multi-Utilities;DTE.N;DTE;US;
DUFRY GRP;Apparel, Accessories & Luxury Goods;;DUFN.S;DUFN.SW;CHF;
Duke Energy;Energy;Electric Utilities;DUK.N;DUK;US;
Duke Realty Corp;Real Estate;Industrial REITs;DRE.N;DRE;US;
DuPont;Materials;Specialty Chemicals;DD.N;DD;US;
DXC Technology;Information Services;IT Consulting & Other Services;DXC.N;DXC;US;
E.ON;Energy;;EONGN.DE;EOAN.DE;DE;
Eastman Chemical;Materials;Diversified Chemicals;EMN.N;EMN;US;
Eaton Corporation;Electronic Components;Electrical Components & Equipment;ETN.N;ETN;US;
eBay;Consumer Staples;Internet & Direct Marketing Retail;EBAY.N;EBAY;US;
Ecolab;Materials;Specialty Chemicals;ECL.N;ECL;US;
EDENRED;Information Services;Data Processing & Outsourced Services;EDEN.PA;EDEN.PA;FR;
EDF;Energy;;EDF.PA;EDF.PA;FR;
Edison International;Energy;Electric Utilities;EIX.N;EIX;US;
EDP ENERGIAS DE PORTUGAL;Energy;;EDP.LS;EDP.LS;PT;
EDP RENOVAVEIS;Energy;Rewable electricity;EDPR.LS;EDPR.LS;PT;
Edwards Lifesciences;Health Care Equipment;Health Care Equipment;EW.N;EW;US;
EGIDE;Electronic Components;;EGID.PA;GID.PA;FR;
EIFFAGE;Industrials;Construction & Engineering;FOUG.PA;FGR.PA;FR;
EKINOPS;Information Services;;EKI.PA;EKI.PA;FR;
ELECTROCOMPONENTS;Electronic Components;;ECM.L;ECM.L;GB;
ELECTROLUX B;Electronic Components;Consumer Electronics;ELUXB.ST;ELUX-B.ST;SE;
Electronic Arts;Communication Services;Interactive Home Entertainment;EA.N;EA;US;
ELEKTA B;Health Care Equipment;Health Care Equipment;EKTAB.ST;EKTA-B.ST;SE;
Eli Lilly;Biotechnology;Pharmaceuticals;LLY.N;LLY;US;
ELIA GROUP;Energy;Electric Utilities;ELI.BR;ELI.BR;BE;
ELIOR GROUP;Hotels & Restaurants;Restaurants;ELIOR.PA;ELIOR.PA;FR;
ELIS;Utilities;;ELIS.PA;ELIS.PA;FR;
ELISA CORPORATION;Telecommunications;;ELISA.HE;ELISA.HE;FI;
Emerson Electric;Electronic Components;Electrical Components & Equipment;EMR.N;EMR;US;
ENAGAS;Energy;;ENAG.MC;ENG.MC;ES;
ENEL;Energy;Electric Utilities;ENEI.MI;ENEL.MI;IT;
Engie;Energy;Multi-Utilities;ENGIE.PA;ENGI.PA;FR;
ENI;Energy;;ENI.MI;ENI.MI;IT;
Enphase Energy;Electronic Components;Electronic Components;ENPH.N;ENPH;US;
ENTAIN;Hotels & Restaurants;;ENT.L;ENT.L;GB;
Entergy;Energy;Electric Utilities;ETR.N;ETR;US;
ENTRA;Real Estate;;ENTRA.OL;ENTRA.OL;NO;
EOG Resources;Oil & Gas;Oil & Gas Exploration & Production;EOG.N;EOG;US;
EPIROC A;Industrial Machinery;Construction Machinery & Heavy Trucks;EPIRA.ST;EPI-A.ST;SE;
EQT;Financial Services;;EQTAB.ST;EQT.ST;SE;
Equifax;Information Services;Research & Consulting Services;EFX.N;EFX;US;
Equinix;Real Estate;Specialized REITs;EQIX.N;EQIX;US;
EQUINOR;Energy;;EQNR.OL;EQNR.OL;NO;
Equity Residential;Real Estate;Residential REITs;EQR.N;EQR;US;
ERAMET;Materials;Diversified Metals and Mining;ERMT.PA;ERA.PA;FR;
ERICSSON LM B;Telecommunications;;ERICB.ST;ERIC-B.ST;SE;
ERSTE GROUP BANK;Banks;;ERST.VI;EBS.VI;AT;
ERYTECH PHARMA;Biotechnology;Pharmaceuticals;ERYP.PA;ERYP.PA;FR;
ESI GROUP;Information Services;;ESIG.PA;ESI.PA;FR;
Essex Property Trust;Real Estate;Residential REITs;ESS.N;ESS;US;
EssilorLuxottica;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;ESLX.PA;EL.PA;FR;
Essity B;Health Care Equipment;;ESSITYA.ST;ESSITY-A.ST;SE;
ESSO;Oil & Gas;;ESSF.PA;ES.PA;FR;
Est‚e Lauder Companies;Apparel, Accessories & Luxury Goods;Personal Products;EL.N;EL;US;
ETS COLRUYT;Consumer Staples;Food Retail;COLR.BR;COLR.BR;BE;
Etsy;Consumer Staples;Internet & Direct Marketing Retail;ETSY.N;ETSY;US;
EURAZEO;Asset Management;Multi-Sector Holdings;EURA.PA;RF.PA;FR;
EUROFINS SCIENTIFIC;Health Care Services;Life Sciences Tools & Services;EUFI.PA;ERF.PA;FR;
EUROPCAR;Automobiles and Parts;Automotive Retail;EUCAR.PA;EUCAR.PA;FR;
EUTELSAT COMMUNIC.;Telecommunications;Cable & Satellite;ETL.PA;ETL.PA;FR;
Everest Re;Insurance;Reinsurance;RE.N;RE;US;
Evergy;Energy;Electric Utilities;EVRG.N;EVRG;US;
Eversource Energy;Energy;Multi-Utilities;ES.N;ES;US;
EVOLUTION;Hotels & Restaurants;;EVOG.ST;EVO.ST;SE;
EVONIK INDUSTRIES;Chemicals;;EVKN.DE;EVK.DE;DE;
EVOTEC;Health Care Services;Life Sciences Tools & Services;EVTG.DE;EVT.DE;DE;
EVRAZ;Materials;;EVRE.L;EVR.L;GB;
EXEL INDUSTRIES;Industrials;Agricultural & Farm Machinery;EXEP.PA;EXE.PA;FR;
Exelon;Energy;Multi-Utilities;EXC.N;EXC;US;
EXOR NV;Financial Services;;EXOR.MI;EXO.MI;IT;
Expedia Group;Consumer Staples;Internet & Direct Marketing Retail;EXPE.N;EXPE;US;
Expeditors;Freight;Air Freight & Logistics;EXPD.N;EXPD;US;
EXPERIAN;Information Services;Research & Consulting Services;EXPN.L;EXPN.L;GB;
Extra Space Storage;Real Estate;Specialized REITs;EXR.N;EXR;US;
ExxonMobil;Oil & Gas;Integrated Oil & Gas;XOM.N;XOM;US;
F5 Networks;Information Services;Communications Equipment;FFIV.N;FFIV;US;
FABEGE;Real Estate;;FABG.ST;FABG.ST;SE;
Fastenal;Industrials;Building Products;FAST.N;FAST;US;
FASTIGHETS BALDER B;Real Estate;;BALDB.ST;BALD-B.ST;SE;
FAURECIA;Automobiles and Parts;Auto Parts & Equipment;EPED.PA;EO.PA;FR;
FDJ;Hotels & Restaurants;Casinos & Gaming;FDJ.PA;FDJ.PA;FR;
Federal Realty Investment Trust;Real Estate;Retail REITs;FRT.N;FRT;US;
FedEx;Freight;Air Freight & Logistics;FDX.N;FDX;US;
FERGUSON PLC;Industrials;Distributors;FERG.L;FERG.L;GB;
FERMENTALG;Biotechnology;Biotechnology;FALG.PA;FALG.PA;FR;
FERRARI;Automobiles and Parts;;RACE.MI;RACE.MI;IT;
FERROVIAL;Construction and Materials;;FER.MC;FER.MC;ES;
Fidelity National Information Services;Information Services;Data Processing & Outsourced Services;FIS.N;FIS;US;
Fifth Third Bancorp;Banks;Regional Banks;FITB.N;FITB;US;
FIGEAC AERO;Airlines;;FGA.PA;FGA.PA;FR;
FINECOBANK;Banks;;FBK.MI;FBK.MI;IT;
First Republic Bank;Banks;Regional Banks;FRC.N;FRC;US;
FirstEnergy;Energy;Electric Utilities;FE.N;FE;US;
Fiserv;Information Services;Data Processing & Outsourced Services;FISV.N;FISV;US;
Fisher & Paykel Healthcare;Health Care Equipment;Health Care Equipment;FPH.AX;FPH.AX;AUS;
Fleetcor;Information Services;Data Processing & Outsourced Services;FLT.N;FLT;US;
FLUGHAFEN ZURICH;Airlines;;FHZN.S;FHZN.SW;CHF;
FLUIDRA;Construction and Materials;;FLUI.MC;FDR.MC;ES;
FMC Corporation;Materials;Fertilizers & Agricultural Chemicals;FMC.N;FMC;US;
FONC. PARIS NORD;Real Estate;;FPN.PA;FPN.PA;FR;
Ford;Automobiles and Parts;Automobile Manufacturers;F.N;F;US;
FORMOSA PLASTICS CORP;Materials;;1301.TW;1301.TW;TW;
Fortescue Metals Group;Materials;;FMG.AX;FMG.AX;AUS;
Fortinet;Semiconductors;Systems Software;FTNT.N;FTNT;US;
Fortive;Industrial Machinery;Industrial Machinery;FTV.N;FTV;US;
FORTUM;Energy;Electric Utilities;FORTUM.HE;FORTUM.HE;FI;
Fortune Brands Home & Security;Industrials;Building Products;FBHS.N;FBHS;US;
Fox Corporationÿ(Class B);Communication Services;Movies & Entertainment;FOX.N;FOX;US;
Franklin Resources;Asset Management;Asset Management & Custody Banks;BEN.N;BEN;US;
FREENET;Telecommunications;;FNTGN.DE;FNTN.DE;DE;
Freeport-McMoRan;Materials;Copper;FCX.N;FCX;US;
FRESENIUS;Health Care Services;Health Care Services;FREG.DE;FRE.DE;DE;
FUTURE;Communication Services;;FUTR.L;FUTR.L;GB;
GALAPAGOS;Biotechnology;Biotechnology;GLPG.AS;GLPG.AS;NL;
GALENICA SANTE AG;Health Care Services;;GALE.S;GALE.SW;CHF;
GALP ENERGIA;Energy;;GALP.LS;GALP.LS;PT;
GAMES WORKSHOP;Apparel, Accessories & Luxury Goods;Leisure Products;GAW.L;GAW.L;GB;
Gap;Apparel, Accessories & Luxury Goods;Apparel Retail;GPS.N;GPS;US;
Garmin;Electronic Components;Consumer Electronics;GRMN.N;GRMN;US;
Gartner;Information Services;IT Consulting & Other Services;IT.N;IT;US;
GEA GRP;Industrial Machinery;Industrial Machinery;G1AG.DE;G1A.DE;DE;
GEBERIT;Construction and Materials;;GEBN.S;GEBN.SW;CHF;
GECINA;Real Estate;;GFCP.PA;GFC.PA;FR;
GEELY AUTOMOBILE HOLDINGS LTD;Automobiles and Parts;;0175.HK;0175.HK;CH;
Generac Holdings;Electronic Components;Electrical Components & Equipment;GNRC.N;GNRC;US;
General Dynamics;Aerospace & Defense;Aerospace & Defense;GD.N;GD;US;
General Electric;Industrials;Industrials Conglomerate;GE.N;GE;US;
General Mills;Consumer Staples;Packaged Foods & Meats;GIS.N;GIS;US;
General Motors;Automobiles and Parts;Automobile Manufacturers;GM.N;GM;US;
GENERIX;Application Software;;GENX.PA;GENX.PA;FR;
GENFIT;Biotechnology;Biotechnology;GNFT.PA;GNFT.PA;FR;
GENMAB;Biotechnology;Biotechnology;GMAB.CO;GMAB.CO;DK;
GENOMIC VISION;Health Care Services;;GVI.PA;GV.PA;FR;
GENSIGHT BIOLOGICS;Biotechnology;Biotechnology;SIGHT.PA;SIGHT.PA;FR;
Genuine Parts;Apparel, Accessories & Luxury Goods;Specialty Stores;GPC.N;GPC;US;
GENUS;Biotechnology;Biotechnology;GNS.L;GNS.L;GB;
GEORG FISCHER;Automobiles and Parts;;FIN.S;0QP4.IL;CHF;
GERRESHEIMER;Health Care Services;Life Sciences Tools & Services;GXIG.DE;GXI.DE;DE;
GETINGE B;Health Care Equipment;Health Care Equipment;GETIB.ST;GETI-B.ST;SE;
GETLINK;Construction and Materials;Highways and Railtracks;GETP.PA;GET.PA;FR;
Gilead Sciences;Biotechnology;Biotechnology;GILD.N;GILD;US;
GIVAUDAN;Chemicals;;GIVN.S;GIVN.SW;CHF;
GLANBIA;Consumer Staples;Packaged Foods & Meats;GL9.I;GL9.IR;IE;
GLAXOSMITHKLINE;Biotechnology;Pharmaceuticals;GSK.L;GSK.L;GB;
GLENCORE PLC;Materials;;GLEN.L;GLEN.L;GB;
Global Payments;Information Services;Data Processing & Outsourced Services;GPN.N;GPN;US;
Globe Life;Insurance;Life & Health Insurance;GL.N;GL;US;
GN STORE NORD;Health Care Equipment;Health Care Equipment;GN.CO;GN.CO;DK;
Goldman Sachs;Asset Management;Investment Banking & Brokerage;GS.N;GS;US;
Goodman Group;Real Estate;;GMG.AX;GMG.AX;AUS;
GRAFTON GRP;Materials;Distributors;GFTU_U.L;GFTU.L;GB;
GRAND CITY PROPERTIES;Real Estate;;GYC.DE;GYC.DE;DE;
GREGGS;Hotels & Restaurants;;GRG.L;GRG.L;GB;
GRIFOLS;Biotechnology;Biotechnology;GRLS.MC;GRF.MC;ES;
GROUPE CRIT;Airlines;;CITT.PA;CEN.PA;FR;
GROUPE FNAC;Electronic Components;;FNAC.PA;FNAC.PA;FR;
GROUPE GORGE;Industrial Machinery;Industrial Machinery;GOEG.PA;GOE.PA;FR;
GROUPE SFPI;Communication Services;;SFPI.PA;SFPI.PA;FR;
GRP BRUXELLES LAMBERT;Financial Services;;GBLB.BR;GBLB.BR;BE;
GTT;Industrials;Naval;GTT.PA;GTT.PA;FR;
GUERBET;Health Care Equipment;Health Care Supplies;GRBT.PA;GBT.PA;FR;
GUILLEMOT;Electronic Components;;GTCN.PA;GUI.PA;FR;
Halliburton;Oil & Gas;Oil & Gas Equipment & Services;HAL.N;HAL;US;
HALMA;Electronic Components;;HLMA.L;HLMA.L;GB;
Hanesbrands;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;HBI.N;HBI;US;
HANG SENG BANK LTD;Banks;;0011.HK;0011.HK;CH;
HANNOVER RUECK;Insurance;;HNRGN.DE;HNR1.DE;DE;
HARGREAVES LANSDOWN;Financial Services;;HRGV.L;HL.L;GB;
Hasbro;Apparel, Accessories & Luxury Goods;Leisure Products;HAS.N;HAS;US;
HAULOTTE GROUP;Industrials;Industrial vehicle;PYHE.PA;PIG.PA;FR;
HAYS;Information Services;Human Resource & Employment Services;HAYS.L;HAS.L;GB;
HCA Healthcare;Health Care Services;Health Care Facilities;HCA.N;HCA;US;
Healthpeak Properties;Health Care Services;Health Care REITs;PEAK.N;PEAK;US;
HEIDELBERGCEMENT;Construction and Materials;;HEIG.DE;HEI.DE;DE;
HEINEKEN;Vinters & Tobacco;Spirituous;HEIN.AS;HEIA.AS;NL;
HELVETIA HLDG;Insurance;;HELN.S;HELN.SW;CHF;
HENKEL PREF;Real Estate;Homebuilding;HNKG.DE;HEN3.DE;DE;
HENNES & MAURITZ B;Apparel, Accessories & Luxury Goods;;HMB.ST;HM-B.ST;SE;
Henry Schein;Health Care Equipment;Health Care Distributors;HSIC.N;HSIC;US;
HERA;Utilities;;HRA.MI;HER.MI;IT;
Hermes International;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;HRMS.PA;RMS.PA;FR;
Hess Corporation;Oil & Gas;Integrated Oil & Gas;HES.N;HES;US;
Hewlett Packard Enterprise;Electronic Components;Technology Hardware, Storage & Peripherals;HPE.N;HPE;US;
HEXAGON B;Electronic Components;;HEXAB.ST;HEXA-B.ST;SE;
HEXPOL 'B';Materials;;HPOLB.ST;HPOL-B.ST;SE;
HIGH CO;Communication Services;;HIGH.PA;HCO.PA;FR;
HIKMA PHARMACEUTICALS;Biotechnology;Pharmaceuticals;HIK.L;HIK.L;GB;
Hilton Worldwide;Hotels & Restaurants;Hotels, Resorts & Cruise Lines;HLT.N;HLT;US;
HISCOX;Insurance;;HSX.L;HSX.L;GB;
Holcim;Construction and Materials;;HOLN.S;HOLN.SW;CHF;
HOLMEN B;Materials;;HOLMB.ST;HOLM-B.ST;SE;
Hologic;Health Care Equipment;Health Care Equipment;HOLX.N;HOLX;US;
Home Depot;Consumer Staples;Home Improvement Retail;HD.N;HD;US;
HOMESERVE;Insurance;;HSV.L;HSV.L;GB;
HON HAI PRECISION INDUSTRY LTD;Electronic Components;Technology Hardware, Storage & Peripherals;2317.TW;2317.TW;TW;
Honeywell;Industrials;Industrials Conglomerate;HON.N;HON;US;
HONG KONG AND CHINA GAS LTD;Energy;;0003.HK;0003.HK;CH;
HONG KONG EXCHANGES AND CLEARING L;Financials;Financial Exchanges & Data;0388.HK;0388.HK;CH;
HOPSCOTCH GROUPE;Communication Services;;HOP.PA;HOP.PA;FR;
Hormel;Consumer Staples;Packaged Foods & Meats;HRL.N;HRL;US;
Host Hotels & Resorts;Real Estate;Hotel & Resort REITs;HST.N;HST;US;
HOWDEN JOINERY GRP;Consumer Staples;Home Furnishings;HWDN.L;HWDN.L;GB;
Howmet Aerospace;Aerospace & Defense;Aerospace & Defense;HWM.N;HWM;US;
HP;Electronic Components;Technology Hardware, Storage & Peripherals;HPQ.N;HPQ;US;
HSBC;Banks;;HSBA.L;HSBA.L;GB;
HUHTAMAKI;Materials;Paper Packaging;HUH1V.HE;HUH1V.HE;FI;
Humana;Health Care Services;Managed Health Care;HUM.N;HUM;US;
Huntington Bancshares;Banks;Regional Banks;HBAN.N;HBAN;US;
Huntington Ingalls Industries;Aerospace & Defense;Aerospace & Defense;HII.N;HII;US;
HUSQVARNA B;Industrial Machinery;Agricultural & Farm Machinery;HUSQB.ST;HUSQ-B.ST;SE;
HYUNDAI MOTOR;Automobiles and Parts;;005380.KS;005380.KS;KS;
IAG;Hotels & Restaurants;;ICAG.L;IAG.L;GB;
IBERDROLA;Energy;;IBE.MC;IBE.MC;ES;
IBM;Information Services;IT Consulting & Other Services;IBM.N;IBM;US;
ICA GRUPPEN;Consumer Staples;Food Retail;ICAA.ST;ICA.ST;SE;
IDEX Corporation;Industrial Machinery;Industrial Machinery;IEX.N;IEX;US;
Idexx Laboratories;Health Care Equipment;Health Care Equipment;IDXX.N;IDXX;US;
IHS Markit;Information Services;Research & Consulting Services;INFO.N;INFO;US;
Illinois Tool Works;Industrial Machinery;Industrial Machinery;ITW.N;ITW;US;
Illumina;Health Care Services;Life Sciences Tools & Services;ILMN.N;ILMN;US;
IMCD;Chemicals;;IMCD.AS;IMCD.AS;NL;
IMERYS;Materials;Construction Materials;IMTP.PA;NK.PA;FR;
IMI;Industrial Machinery;Industrial Machinery;IMI.L;IMI.L;GB;
IMPERIAL BRANDS;Vinters & Tobacco;Tobacco;IMB.L;IMB.L;GB;
INCHCAPE;Automobiles and Parts;Distributors;INCH.L;INCH.L;GB;
Incyte;Biotechnology;Biotechnology;INCY.N;INCY;US;
Industria de Diseno Textil SA;Apparel, Accessories & Luxury Goods;;ITX.MC;ITX.MC;ES;
INDUSTRIAL AND COMMERCIAL BANK OF;Banks;;1398.HK;1398.HK;CH;
INDUTRADE;Industrial Machinery;Industrial Machinery;INDT.ST;INDT.ST;SE;
INFINEON TECHNOLOGIES;Semiconductors;;IFXGN.DE;IFX.DE;DE;
INFORMA;Communication Services;;INF.L;INF.L;GB;
ING GRP;Banks;;INGA.AS;INGA.AS;NL;
Ingersoll Rand;Industrial Machinery;Industrial Machinery;IR.N;IR;US;
INMOBILIARIA COLONIAL SOCIMI;Real Estate;;COL.MC;COL.MC;ES;
INNATE PHARMA;Biotechnology;Biotechnology;IPH.PA;IPH.PA;FR;
INPOST;Freight;Air Freight & Logistics;INPST.AS;INPST.AS;NL;
Insurance Australia Group;Insurance;;IAG.AX;IAG.AX;AUS;
Intel;Semiconductors;Semiconductors;INTC.N;INTC;US;
Intercontinental Exchange;Financials;Financial Exchanges & Data;ICE.N;ICE;US;
INTERCONTINENTAL HOTELS GRP;Hotels & Restaurants;;IHG.L;IHG.L;GB;
INTERMEDIATE CAPITAL GRP;Asset Management;Asset Management & Custody Banks;ICP.L;ICP.L;GB;
International Flavors & Fragrances;Materials;Specialty Chemicals;IFF.N;IFF;US;
International Paper;Materials;Paper Packaging;IP.N;IP;US;
INTERPARFUMS;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;IPAR.PA;ITP.PA;FR;
Interpublic Group;Communication Services;Advertising;IPG.N;IPG;US;
INTERPUMP GRP;Industrial Machinery;Industrial Machinery;ITPG.MI;IP.MI;IT;
INTERTEK GRP;Information Services;Research & Consulting Services;ITRK.L;ITRK.L;GB;
INTESA SANPAOLO;Banks;;ISP.MI;ISP.MI;IT;
Intuit;Application Software;Application Software;INTU.N;INTU;US;
Intuitive Surgical;Health Care Equipment;Health Care Equipment;ISRG.N;ISRG;US;
INVENTIVA PROM;Biotechnology;;IVAA.PA;IVA.PA;FR;
Invesco;Asset Management;Asset Management & Custody Banks;IVZ.N;IVZ;US;
INVESTOR B;Asset Management;;INVEB.ST;INVE-B.ST;SE;
INWIT;Telecommunications;;INWT.MI;INW.MI;IT;
IPG Photonics;Electronic Components;Electronic Manufacturing Services;IPGP.N;IPGP;US;
IPSEN;Biotechnology;Pharmaceuticals;IPN.PA;IPN.PA;FR;
IPSOS;Communication Services;Advertising;ISOS.PA;IPS.PA;FR;
IQVIA;Health Care Services;Life Sciences Tools & Services;IQV.N;IQV;US;
Iron Mountain;Real Estate;Specialized REITs;IRM.N;IRM;US;
ISS AS;Aerospace & Defense;Aerospace & Defense;ISS.CO;ISS.CO;DK;
ITALGAS;Energy;;IG.MI;IG.MI;IT;
ITESOFT;Information Services;;ITFT.PA;ITE.PA;FR;
ITV;Communication Services;;ITV.L;ITV.L;GB;
IWG PLC;Real Estate;;IWG.L;IWG.L;GB;
J. B. Hunt;Freight;Trucking;JBHT.N;JBHT;US;
Jack Henry & Associates;Information Services;Data Processing & Outsourced Services;JKHY.N;JKHY;US;
Jacobs Engineering Group;Industrials;Construction & Engineering;J.N;J;US;
JACQUET METAL SCE;Materials;;JCQ.PA;JCQ.PA;FR;
James Hardie;Materials;;JHX.AX;JHX.AX;AUS;
JC DECAUX;Communication Services;Advertising;JCDX.PA;DEC.PA;FR;
JD SPORTS FASHION;Apparel, Accessories & Luxury Goods;;JD.L;JD.L;GB;
JD.COM CLASS A INC;Consumer Staples;Internet & Direct Marketing Retail;9618.HK;9618.HK;CH;
JDE PEET S;Consumer Staples;Packaged Foods & Meats;JDEP.AS;JDEP.AS;NL;
JERONIMO MARTINS;Consumer Staples;Food Retail;JMT.LS;JMT.LS;PT;
JM Smucker;Consumer Staples;Packaged Foods & Meats;SJM.N;SJM;US;
Johnson & Johnson;Biotechnology;Pharmaceuticals;JNJ.N;JNJ;US;
Johnson Controls;Industrials;Building Products;JCI.N;JCI;US;
JOHNSON MATTHEY;Chemicals;;JMAT.L;JMAT.L;GB;
JPMorgan Chase;Banks;Diversified Banks;JPM.N;JPM;US;
JULIUS BAER GRP;Asset Management;Asset Management & Custody Banks;BAER.S;BAER.SW;CHF;
Juniper Networks;Information Services;Communications Equipment;JNPR.N;JNPR;US;
JUST EAT TAKEAWAY.COM NV;Information Services;Internet & Direct Marketing Retail;TKWY.AS;TKWY.AS;NL;
KAKAO CORP;Communication Services;;035720.KS;035720.KS;KS;
Kansas City Southern;Industrials;Railroads;KSU.N;KSU;US;
KAUFMAN ET BROAD;Real Estate;;KOF.PA;KOF.PA;FR;
KB FINANCIAL GROUP INC;Asset Management;;105560.KS;105560.KS;KS;
KBC GRP;Banks;;KBC.BR;KBC.BR;BE;
Kellogg's;Consumer Staples;Packaged Foods & Meats;K.N;K;US;
Kering;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;PRTP.PA;KER.PA;FR;
KERRY GRP;Consumer Staples;Packaged Foods & Meats;KYGA.I;KRZ.IR;IE;
KESKO;Consumer Staples;Food Retail;KESKOB.HE;KESKOB.HE;FI;
KeyCorp;Banks;Regional Banks;KEY.N;KEY;US;
Keysight Technologies;Electronic Components;Electronic Equipment & Instruments;KEYS.N;KEYS;US;
KGHM;Materials;;KGH.WA;KGH.WA;PL;
KIA CORPORATION CORP;Automobiles and Parts;;000270.KS;000270.KS;KS;
Kimberly-Clark;Consumer Staples;Household Products;KMB.N;KMB;US;
Kimco Realty;Real Estate;Retail REITs;KIM.N;KIM;US;
Kinder Morgan;Oil & Gas;Oil & Gas Storage & Transportation;KMI.N;KMI;US;
KINDRED GROUP;Hotels & Restaurants;;KINDSDB.ST;KIND-SDB.ST;SE;
KINGFISHER;Consumer Staples;Home Improvement Retail;KGF.L;KGF.L;GB;
KINGSPAN GRP;Construction and Materials;;KSP.I;KRX.IR;IE;
KINNEVIK B;Asset Management;Asset Management & Custody Banks;KINVB.ST;KINV-B.ST;SE;
KION GROUP;Industrial Machinery;Construction Machinery & Heavy Trucks;KGX.DE;KGX.DE;DE;
KLA Corporation;Semiconductors;Semiconductor Equipment;KLAC.N;KLAC;US;
KOJAMO OYJ;Real Estate;;KOJAMO.HE;KOJAMO.HE;FI;
KONE B;Industrial Machinery;Industrial Machinery;KNEBV.HE;KNEBV.HE;FI;
KONINKLIJKE DSM;Materials;Specialty Chemicals;DSMN.AS;DSM.AS;NL;
KORIAN;Health Care Equipment;;KORI.PA;KORI.PA;FR;
KPN;Telecommunications;;KPN.AS;KPN.AS;NL;
Kraft Heinz;Consumer Staples;Packaged Foods & Meats;KHC.N;KHC;US;
Kroger;Consumer Staples;Food Retail;KR.N;KR;US;
KUEHNE + NAGEL;Industrials;Marine;KNIN.S;KNIN.SW;CHF;
L3Harris Technologies;Aerospace & Defense;Aerospace & Defense;LHX.N;LHX;US;
LabCorp;Health Care Services;Health Care Services;LH.N;LH;US;
LAGARDERE S.C.A.;Communication Services;Publishing;LAGA.PA;MMB.PA;FR;
Lam Research;Semiconductors;Semiconductor Equipment;LRCX.N;LRCX;US;
Lamb Weston;Consumer Staples;Packaged Foods & Meats;LW.N;LW;US;
LAND SECURITIES;Real Estate;;LAND.L;LAND.L;GB;
LANXESS;Chemicals;;LXSG.DE;LXS.DE;DE;
Las Vegas Sands;Hotels & Restaurants;Casinos & Gaming;LVS.N;LVS;US;
LATOUR INVESTMENT B;Asset Management;;LATOB.ST;LATO-B.ST;SE;
LECTRA;Information Services;;LECS.PA;LSS.PA;FR;
LEG IMMOBILIEN;Real Estate;;LEGN.DE;LEG.DE;DE;
LEGAL & GENERAL GRP;Insurance;;LGEN.L;LGEN.L;GB;
Leggett & Platt;Consumer Staples;Home Furnishings;LEG.N;LEG;US;
Legrand SA;Electronic Components;Electrical Components & Equipment;LEGD.PA;LR.PA;FR;
Leidos;Industrials;Diversified Support Services;LDOS.N;LDOS;US;
